state,code,is_final,restart,look_ahead,return_value,s,e,n,a,o,f,c,q,u,t,i,m,l,\{,",",;,\},"""",>,<,=,!,\(,\),\+,-,\*,/,\., ,\t,\n,0,[1-9],[a-zA-Z0-9],[^a-zA-Z0-9],r,g,p
10,,FALSE,,FALSE,,26,26,26,26,11,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
11,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,26,26,12,26,26,26
12,ELSE,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,,FALSE,,FALSE,,26,26,14,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
14,,FALSE,,FALSE,,26,26,26,26,26,26,26,19,26,15,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
15,,FALSE,,FALSE,,26,26,26,16,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
16,,FALSE,,FALSE,,26,26,26,26,17,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
17,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,26,18,26,26,26
18,THEN,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1
19,,FALSE,,FALSE,,26,26,26,26,26,26,26,20,20,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
20,,FALSE,,FALSE,,26,26,26,21,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
21,,FALSE,,FALSE,,26,26,22,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
22,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,23,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
23,,FALSE,,FALSE,,26,26,26,26,24,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
24,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,26,26
25,WHILE,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1
26,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
27,ID,TRUE,,TRUE,TRUE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1
